ResponseId,condition,choice_set,choice_set_size,choice,scale_target_normalized
R_bEJvH1PqUntuZ21,dominant_beginning,ABC,p,0,0
R_25Ld7Y8uFE4O9dG,control,ABC,p,0,0.635135135
R_PN8ceaaaeZ7moLf,control,ABC,p,1,0.346938776
R_1oB8w0oxIgaQFNg,dominant_beginning,ABC,p,0,0
R_1JLOreXg51KQmgv,dominant_beginning,ABC,p,1,0.884615385
R_1EcI60OirmlHULP,control,ABC,p,0,0.5
R_31LwKeLqsoe2NYU,dominant_beginning,ABC,p,1,0.6
R_3qkus3rl9XWKPhs,control,ABC,p,0,0
R_eFLpWZzDhttgWNX,dominant_beginning,ABC,p,1,0.79245283
R_3nd8EVTt9aYSUL6,dominant_beginning,ABC,p,0,0.666666667
R_STqwILAZm6UNuIp,control,ABC,p,0,0.464285714
R_3M5TG4rNolpDB97,control,ABC,p,0,0.4
R_UyCvSfnyQ0bE3kt,dominant_beginning,ABC,p,0,0.666666667
R_3Jx51wrTp6X7lXt,control,ABC,p,0,0.509803922
R_301rZUYeQabFR7h,dominant_beginning,ABC,p,0,0.720930233
R_1hzpJEwwjEo70Jj,control,ABC,p,0,0.7
R_2xKt99tjKnVH2Le,control,ABC,p,0,0.46
R_2dGsXvfCjOzgPvo,control,ABC,p,0,0.6
R_2PkgreaGqMRaEuG,control,ABC,p,1,1
R_3h0CRUSjyp8wnKG,control,ABC,p,1,1
R_2WDaPPjgUSXog3h,dominant_beginning,ABC,p,1,0.525
R_1C8UoEbyrLlww86,dominant_beginning,ABC,p,0,1
R_3PSMxoIzxhwnhce,dominant_beginning,ABC,p,0,0.39
R_12gqjvqsEiGGJz5,control,ABC,p,0,0.583333333
R_24LW063hN5vdErU,control,ABC,p,1,0.691176471
R_3qldPXoKOQYkBXc,dominant_beginning,ABC,p,0,0
R_2zcrCuy7NJMkCNR,dominant_beginning,ABC,p,0,0.733333333
R_2bj5ReuCBlU3t3X,dominant_beginning,ABC,p,1,0.933333333
R_21tekv6khNDd5ke,dominant_beginning,ABC,p,0,0
R_3qduJL7YDiIDcAX,control,ABC,p,1,0.568421053
R_12QlhhGsZokVgCw,dominant_beginning,ABC,p,1,0.821428571
R_2R8iZo7nWGnHbaS,dominant_beginning,ABC,p,1,0.678571429
R_2aCmDSaHbZH53Ox,control,ABC,p,1,0.45
R_cxanghBnXxEUnpD,dominant_beginning,ABC,p,0,0.492063492
R_4SnzRBNa2qoloJj,dominant_beginning,ABC,p,0,0.244897959
R_tDUmFarygDf5BVD,control,ABC,p,0,0.15
R_22VAiGXf087pJ2J,control,ABC,p,1,0.153846154
R_yrVGScyLvTjFWlH,dominant_beginning,ABC,p,1,0
R_27366ooVt1rKjX7,dominant_beginning,ABC,p,1,0.642857143
R_3KDxQhJ3CRoJm4F,dominant_beginning,ABC,p,1,0.767676768
R_29miJJJp9CDQg56,control,ABC,p,0,0
R_pclpfu26eGQGp7H,control,ABC,p,1,1
R_3F2N0xlVxweWfys,control,ABC,p,1,0.558823529
R_1IxSSa8JcaM3t6a,dominant_beginning,ABC,p,0,0
R_Zml5URh1RnUxaox,dominant_beginning,ABC,p,1,0.8
R_31pfnw1EHfepEbX,control,ABC,p,0,0
R_1pEENKxrsvrlevr,dominant_beginning,ABC,p,0,0.1875
R_3exWFRTMv3DZgDK,dominant_beginning,ABC,p,0,0.630136986
R_2eb4JvsBASC7Nl6,dominant_beginning,ABC,p,0,0.8
R_23WYh90dDSjcmce,control,ABC,p,1,1
R_22xY0hHixfik8UL,dominant_beginning,ABC,p,0,0.933333333
R_2w4V6I4pF05HCWh,control,ABC,p,0,0.444444444
R_2qydPly5IEwYh7F,control,ABC,p,0,0
R_2SCwo8VInWzGZiM,control,ABC,p,0,0.796610169
R_3OeIUR8Uqg2k7KN,control,ABC,p,1,0.913043478
R_1ZjGj92GqgXo0x3,dominant_beginning,ABC,p,0,0.197916667
R_2b0L3BD4j22BwTa,dominant_beginning,ABC,p,0,0.386363636
R_1Imlb4ILHGp7R2U,dominant_beginning,ABC,p,0,0
R_1QEiJDA1ARhyt9R,control,ABC,p,1,0.755102041
R_3h4JDxnBggPH709,dominant_beginning,ABC,p,0,0.131578947
R_31S2F0a6a81RN6j,control,ABC,p,1,0.945945946
R_1pQYbf5uLC6KM7I,control,ABC,p,1,0.5
R_3IVJzMxcGvkbgVg,control,ABC,p,0,0.277777778
R_3J8mXYru5PZJO7u,dominant_beginning,ABC,p,0,0.5
R_3dFygFHuPaeJIJF,dominant_beginning,ABC,p,0,0.6
R_tMxeOMmezQx0Bvb,control,ABC,p,0,0.224489796
R_3yfVqLL9jHdGp6V,control,ABC,p,0,0.452054795
R_6x0GNdgQiFKoU0h,control,ABC,p,0,0.087719298
R_3q9l3lMYGRoVpWP,control,ABC,p,1,0.183673469
R_1nV02RZIHWQNMmF,dominant_beginning,ABC,p,1,0
R_b3ZPZQ657Yd6POF,dominant_beginning,ABC,p,1,0.222222222
R_1jWo5N8OZmqkQFC,control,ABC,p,0,0.1
R_UmEgAWE7U9tqk7f,dominant_beginning,ABC,p,0,0.214285714
R_2wAGg9frecw9C6F,control,ABC,p,0,0.666666667
R_1mQ2Vagltp8fpjG,dominant_beginning,ABC,p,0,0.133333333
R_2ZKaogRiJvg2Fhp,control,ABC,p,1,0.780487805
R_2SGj9THWiTMLkfx,dominant_beginning,ABC,p,0,0.111111111
R_55TiYX73WUus2Pf,control,ABC,p,1,0.862745098
R_1QGfT248YpkWRBh,dominant_beginning,ABC,p,0,0.608695652
R_2zkmoG0m2Uw1QHu,control,ABC,p,0,0.25
