ResponseId,condition,choice_set,choice_set_size,choice,scale_target_normalized
R_2Tt4UmRYC2DeiGA,extreme_middle,ABC,p,0,0.596153846
R_3HNCLqLgHOTkhhd,extreme_middle,ABC,p,0,0.462962963
R_3RgzTdyzaJluNA7,control,ABC,p,0,0.424242424
R_3Huhr9Q6UbLUJnJ,extreme_middle,ABC,p,0,0.666666667
R_3gZQbfiVTy1cFcN,extreme_beginning,ABC,p,1,0.333333333
R_e3wh0NPn76KrjUd,extreme_middle,ABC,p,0,0.68
R_2sbgtLKMIC2T2JO,extreme_beginning,ABC,p,1,0.214285714
R_7PRt7mv5qEtrBAJ,extreme_beginning,ABC,p,1,0.428571429
R_3fvOw96tU43FlRF,extreme_middle,ABC,p,0,0
R_rkJFSGrgZRKCFTH,control,ABC,p,0,0
R_3L5YHoCTMVypN2X,extreme_beginning,ABC,p,0,0.076923077
R_263JpBwziezskEU,extreme_middle,ABC,p,0,0.6
R_Dxi0WKTJ7g2sY01,extreme_beginning,ABC,p,1,0.096774194
R_2gd5KUj8aNp0AZH,extreme_beginning,ABC,p,0,0.333333333
R_7WE5NNzlHqT2yat,control,ABC,p,0,0.487179487
R_pPOWRQCDvRbQ8nf,extreme_middle,ABC,p,0,0.457627119
R_2fg4lIg4GL1pM0n,extreme_beginning,ABC,p,0,0.662337662
R_3rIBQPznLznDeQO,extreme_middle,ABC,p,0,0.1
R_3JaQ6n35N00570k,extreme_beginning,ABC,p,1,0.333333333
R_3JDeXMLNKb2uzzY,extreme_middle,ABC,p,1,0
R_3KpdkBoOVav79dF,control,ABC,p,0,0
R_1i3xPSyUPUMfzrM,extreme_middle,ABC,p,1,0
R_1GxDJh87Iqp022N,extreme_middle,ABC,p,0,1
R_1pRUIRay523xpd5,extreme_beginning,ABC,p,0,0.333333333
R_1IK1y0XW6oAyMRm,extreme_beginning,ABC,p,1,0.288888889
R_31voShjqNlH5WRA,extreme_beginning,ABC,p,0,0.6
R_Ua2UbL5GJdUH9XX,extreme_middle,ABC,p,0,0.571428571
R_2DRLO5kzjOP5Dki,extreme_beginning,ABC,p,0,0.666666667
R_1E9SgwPx712f24F,control,ABC,p,0,0.68
R_31LCVbElMEDqrHI,extreme_middle,ABC,p,0,0.965517241
R_3KSMFbwipyXFajy,extreme_beginning,ABC,p,1,0.24137931
R_2ZKS8QtCsTD8Ar3,extreme_middle,ABC,p,1,0.520833333
R_1oi2JHMzKoBor9p,extreme_middle,ABC,p,1,0.925925926
R_3elE4OwdxWPXx5c,extreme_middle,ABC,p,1,1
R_3DqhP6ySkuv3Zz8,extreme_beginning,ABC,p,0,0.428571429
R_12hYVofZDNDbRgu,control,ABC,p,0,0.101694915
R_1KrIDDv5dr1ziOs,extreme_middle,ABC,p,1,0
R_2rDGfSNvZV4aIhn,extreme_middle,ABC,p,1,1
R_3nkp2lVc7VCqnBs,extreme_middle,ABC,p,0,0
R_1dc55fbHWCEcULK,control,ABC,p,0,0.545454545
R_3R4oDulMXxvMIzy,extreme_beginning,ABC,p,0,0
R_Y6zLJ3pk5vByjDj,extreme_beginning,ABC,p,0,0.2
R_31t18JUIYETS0Sl,control,ABC,p,0,0.625
R_2TFs0XTDSOsw5XI,extreme_middle,ABC,p,0,0
R_3KPDUlwLGI6o6aI,extreme_beginning,ABC,p,0,0.394736842
R_A0w4UxO5J6chBnj,control,ABC,p,0,0
R_3s78W6tGVSPiRmR,extreme_middle,ABC,p,1,1
R_3GrF2aAKNrhSH5x,control,ABC,p,0,0
R_1MScm2uyrvaBVSt,extreme_beginning,ABC,p,0,0.666666667
R_1hX6AdWCxHZwAuy,extreme_beginning,ABC,p,0,0
R_5neHIdbriCdkNSF,extreme_middle,ABC,p,0,0.363636364
R_262x7eQBOgVh3KI,extreme_middle,ABC,p,1,0.72972973
R_ZCxlwL38k2Y4XBL,extreme_middle,ABC,p,0,0.428571429
R_wKJvzl2Orm1BbGN,extreme_beginning,ABC,p,0,0.848484848
R_7OGoXQDcs23Y1up,extreme_beginning,ABC,p,0,0
R_1CIbvNq3rd6jJCc,control,ABC,p,0,1
R_2qDvwJ5hLXxr6Mp,extreme_beginning,ABC,p,0,0
R_UDUp9fMaFiQdUA1,extreme_middle,ABC,p,0,0.333333333
R_aW5z5Kwr09It8Wd,control,ABC,p,1,1
R_3EEbkB23XyPidSW,extreme_beginning,ABC,p,0,0
R_XzGUqOf4q9wKBgd,extreme_beginning,ABC,p,1,0.594594595
R_3dRgrt07RybhF7R,control,ABC,p,1,0
R_1QozvRlhUrmbU5u,extreme_middle,ABC,p,0,0
R_2SviHWbO8HeGGcw,extreme_middle,ABC,p,0,0.333333333
R_PZfwITUKHIkILrb,extreme_middle,ABC,p,0,0.287671233
R_3L4Qyhfmnsz1Wze,extreme_middle,ABC,p,0,0.310810811
R_3G3RSECdOrno94h,extreme_beginning,ABC,p,0,0
R_1dbsilywptSPlsH,control,ABC,p,0,0
R_11jf9g9HOvA9Hw1,extreme_beginning,ABC,p,1,0.358490566
R_2Vn0k59hAbnteNi,extreme_beginning,ABC,p,0,1
R_1CxbmGLUHxypK9b,extreme_middle,ABC,p,0,0
R_XFnSsO2sUJEYL73,extreme_beginning,ABC,p,0,0.53
R_3JygPGTcTZNcuMG,extreme_beginning,ABC,p,0,0
R_1JXgazgE9JOWX1p,control,ABC,p,0,0.441176471
R_1OAINopQQU6CcW9,extreme_middle,ABC,p,0,0.295774648
R_1E6t3LW6mjNy0ea,control,ABC,p,0,0.63
R_3OizJfTanwBirBM,extreme_middle,ABC,p,0,0.666666667
R_4TrV2EcxSHS4I3D,extreme_beginning,ABC,p,0,1
R_Du8bd3h8iByQJTb,extreme_middle,ABC,p,0,0
R_2Y6cVBBI1Dg3dN2,extreme_beginning,ABC,p,0,1
R_12a5oSSOinlLQRt,control,ABC,p,1,0.333333333
R_3a7a4WBnLrhZvJ7,extreme_middle,ABC,p,1,1
R_2Tq9gqnNdcluzL0,extreme_middle,ABC,p,0,0
R_1jCi4x6oU8wYXlh,extreme_middle,ABC,p,1,1
R_27eceNzkTyl4X9T,extreme_beginning,ABC,p,0,0.235294118
R_2QohgIzf3erci3U,extreme_beginning,ABC,p,0,0.272727273
R_3hFHpbj00wffHxO,control,ABC,p,0,0
R_334nSdkSdB8u3db,extreme_middle,ABC,p,0,0
R_290NnfgqUwPFgD4,extreme_middle,ABC,p,0,0
R_1Id7f2lylkASCQm,extreme_beginning,ABC,p,0,0.211538462
R_3hcsd89Vjikg2pY,extreme_beginning,ABC,p,0,0.5
R_1ervl5bDJwAgWl7,extreme_middle,ABC,p,1,0.638888889
R_2f1aTU8zTu7qwPg,extreme_beginning,ABC,p,0,0.16
R_1d5Mr46qAbiRe4s,control,ABC,p,0,0
